i,pct_f,type
0,4.0,1.0
1,14.0,1.0
2,7.0,1.0
3,21.0,1.0
4,16.0,1.0
5,14.0,1.0
6,22.0,1.0
7,7.0,1.0
8,31.0,1.0
9,12.0,1.0
10,7.0,1.0
11,5.0,1.0
12,8.0,1.0
13,5.0,1.0
14,12.0,1.0
15,25.0,1.0
16,0.0,1.0
17,7.0,1.0
18,0.0,1.0
19,29.0,2.0
20,12.0,1.0
21,6.0,1.0
22,0.0,1.0
23,47.0,3.0
24,33.0,3.0
25,27.0,3.0
26,17.0,3.0
27,57.0,3.0
28,30.0,3.0
29,43.0,3.0
30,40.0,4.0
31,17.0,5.0
32,7.0,6.0
33,33.0,3.0
34,50.0,3.0
35,8.0,3.0
36,88.0,3.0
37,6.0,5.0
38,20.0,5.0
39,13.0,3.0
40,0.0,3.0
41,26.0,3.0
42,33.0,3.0
43,50.0,3.0
44,38.0,3.0
45,37.0,3.0
46,30.0,3.0
47,32.0,4.0
48,39.0,3.0
49,19.0,3.0
50,3.0,6.0
51,10.0,3.0
52,10.0,3.0
53,0.0,3.0
54,17.0,3.0
55,27.0,5.0
56,14.0,7.0
57,42.0,3.0
58,47.0,3.0
59,17.0,5.0
60,28.0,5.0
61,67.0,3.0
62,56.0,3.0
63,14.0,3.0
64,38.0,3.0
65,20.0,3.0
66,42.0,5.0
67,27.0,3.0
68,31.0,3.0
69,25.0,3.0
70,29.0,6.0
71,67.0,3.0
72,25.0,3.0
73,0.0,3.0
74,30.0,7.0
75,58.0,3.0
76,47.0,3.0
77,33.0,4.0
78,0.0,3.0
79,23.0,5.0
80,33.0,5.0
81,7.0,3.0
82,36.0,3.0
83,28.0,7.0
84,52.0,3.0
85,7.0,6.0
86,15.0,6.0
87,75.0,3.0
88,62.0,3.0
89,78.0,3.0
90,47.0,6.0
91,67.0,3.0
92,50.0,3.0
93,41.0,3.0
94,45.0,3.0
95,67.0,3.0
96,81.0,3.0
97,50.0,3.0
98,4.0,6.0
99,9.0,6.0
100,25.0,3.0
101,25.0,3.0
102,50.0,4.0
103,18.0,4.0
104,7.0,5.0
105,32.0,5.0
106,43.0,7.0
107,35.0,3.0
108,40.0,3.0
109,38.0,6.0
110,84.0,3.0
111,47.0,3.0
112,19.0,5.0
113,42.0,3.0
114,50.0,3.0
115,56.0,3.0
116,15.0,3.0
117,0.0,3.0
118,4.0,3.0
119,8.0,5.0
120,25.0,5.0
121,0.0,3.0
122,27.0,3.0
123,23.0,7.0
124,26.0,7.0
125,41.0,3.0
126,24.0,6.0
127,0.0,3.0
128,10.0,6.0
129,5.0,3.0
130,21.0,4.0
131,15.0,5.0
132,33.0,3.0
133,20.0,3.0
134,29.0,3.0
135,54.0,3.0
136,0.0,3.0
137,14.0,3.0
138,23.0,3.0
139,25.0,3.0
140,10.0,3.0
141,18.0,3.0
142,30.0,3.0
143,50.0,3.0
144,33.0,7.0
145,16.0,7.0
146,30.0,7.0
147,3.0,7.0
148,0.0,3.0
149,32.0,3.0
150,0.0,3.0
151,0.0,3.0
152,33.0,3.0
153,13.0,5.0
154,40.0,3.0
155,43.0,3.0
156,50.0,3.0
157,17.0,3.0
158,7.0,3.0
