i,pct_f,effectifs_candidats_total_accepte,effectifs_candidats_femmes_total_accepte
0,51.0,71.0,36.0
1,20.0,123.0,24.0
2,16.0,58.0,9.0
3,26.0,181.0,47.0
4,32.0,143.0,46.0
5,25.0,110.0,28.0
6,30.0,54.0,16.0
7,13.0,76.0,10.0
8,8.0,13.0,1.0
9,44.0,250.0,110.0
10,12.0,41.0,5.0
11,17.0,120.0,20.0
12,30.0,168.0,51.0
13,30.0,80.0,24.0
14,12.0,16.0,2.0
15,0.0,4.0,0.0
16,0.0,6.0,0.0
17,9.0,57.0,5.0
18,0.0,6.0,0.0
19,59.0,41.0,24.0
20,4.0,24.0,1.0
21,29.0,51.0,15.0
22,50.0,20.0,10.0
23,5.0,21.0,1.0
24,12.0,8.0,1.0
25,38.0,21.0,8.0
26,21.0,14.0,3.0
27,55.0,31.0,17.0
28,0.0,13.0,0.0
29,62.0,26.0,16.0
30,36.0,14.0,5.0
31,33.0,111.0,37.0
32,13.0,15.0,2.0
33,9.0,11.0,1.0
34,0.0,4.0,0.0
35,0.0,12.0,0.0
36,83.0,12.0,10.0
37,8.0,38.0,3.0
38,55.0,110.0,60.0
39,33.0,15.0,5.0
40,0.0,8.0,0.0
41,35.0,37.0,13.0
42,76.0,21.0,16.0
43,50.0,8.0,4.0
44,7.0,15.0,1.0
45,56.0,25.0,14.0
46,50.0,28.0,14.0
47,61.0,31.0,19.0
48,76.0,45.0,34.0
49,70.0,53.0,37.0
50,26.0,39.0,10.0
51,29.0,34.0,10.0
52,75.0,24.0,18.0
53,42.0,12.0,5.0
54,64.0,11.0,7.0
55,60.0,134.0,81.0
56,59.0,58.0,34.0
57,0.0,16.0,0.0
58,0.0,21.0,0.0
59,30.0,70.0,21.0
60,60.0,110.0,66.0
61,0.0,6.0,0.0
62,50.0,24.0,12.0
63,43.0,14.0,6.0
64,0.0,9.0,0.0
65,42.0,52.0,22.0
66,43.0,58.0,25.0
67,94.0,17.0,16.0
68,38.0,32.0,12.0
69,0.0,8.0,0.0
70,24.0,38.0,9.0
71,0.0,7.0,0.0
72,0.0,6.0,0.0
73,82.0,22.0,18.0
74,64.0,44.0,28.0
75,88.0,32.0,28.0
76,9.0,22.0,2.0
77,49.0,35.0,17.0
78,0.0,0.0,0.0
79,6.0,49.0,3.0
80,88.0,24.0,21.0
81,81.0,31.0,25.0
82,48.0,31.0,15.0
83,66.0,47.0,31.0
84,64.0,33.0,21.0
85,28.0,93.0,26.0
86,70.0,44.0,31.0
87,57.0,30.0,17.0
88,8.0,26.0,2.0
89,8.0,12.0,1.0
90,74.0,19.0,14.0
91,6.0,31.0,2.0
92,9.0,11.0,1.0
93,91.0,23.0,21.0
94,40.0,30.0,12.0
95,46.0,26.0,12.0
96,56.0,25.0,14.0
97,75.0,8.0,6.0
98,21.0,33.0,7.0
99,25.0,28.0,7.0
100,47.0,15.0,7.0
101,47.0,51.0,24.0
102,81.0,21.0,17.0
103,23.0,94.0,22.0
104,36.0,91.0,33.0
105,70.0,270.0,189.0
106,29.0,28.0,8.0
107,61.0,28.0,17.0
108,0.0,34.0,0.0
109,0.0,30.0,0.0
110,44.0,25.0,11.0
111,16.0,63.0,10.0
112,54.0,35.0,19.0
113,50.0,34.0,17.0
114,79.0,38.0,30.0
115,68.0,25.0,17.0
116,5.0,21.0,1.0
117,31.0,32.0,10.0
118,60.0,30.0,18.0
119,52.0,108.0,56.0
120,0.0,4.0,0.0
121,50.0,18.0,9.0
122,8.0,159.0,12.0
123,64.0,291.0,186.0
124,5.0,22.0,1.0
125,45.0,22.0,10.0
126,0.0,0.0,0.0
127,36.0,91.0,33.0
128,5.0,22.0,1.0
129,64.0,22.0,14.0
130,5.0,81.0,4.0
