nb_formations,numero_departement,nom_departement
38,1.0,1.0
35,2.0,2.0
32,3.0,3.0
41,4.0,4.0
45,5.0,5.0
35,6.0,6.0
32,7.0,7.0
35,8.0,8.0
28,9.0,9.0
46,10.0,10.0
46,11.0,11.0
34,12.0,12.0
47,13.0,13.0
31,14.0,14.0
45,15.0,15.0
44,16.0,16.0
29,17.0,17.0
33,18.0,18.0
19,19.0,19.0
24,20.0,20.0
23,21.0,21.0
7,22.0,22.0
12,23.0,23.0
19,24.0,24.0
7,25.0,25.0
23,26.0,26.0
15,27.0,27.0
19,28.0,28.0
31,29.0,29.0
14,30.0,30.0
21,31.0,31.0
19,32.0,32.0
21,33.0,33.0
28,34.0,34.0
16,35.0,35.0
31,36.0,36.0
15,37.0,37.0
11,38.0,38.0
30,39.0,39.0
12,40.0,40.0
46,41.0,41.0
13,42.0,42.0
31,43.0,43.0
40,44.0,44.0
8,45.0,45.0
11,46.0,46.0
17,47.0,47.0
33,48.0,48.0
13,49.0,49.0
13,50.0,50.0
20,51.0,51.0
10,52.0,52.0
44,53.0,53.0
21,54.0,54.0
36,55.0,55.0
12,56.0,56.0
17,57.0,57.0
38,58.0,58.0
7,59.0,59.0
33,60.0,60.0
17,61.0,61.0
22,62.0,62.0
16,63.0,63.0
31,64.0,64.0
32,65.0,65.0
19,66.0,66.0
23,67.0,67.0
37,68.0,68.0
28,69.0,69.0
12,70.0,70.0
27,71.0,71.0
34,72.0,72.0
28,73.0,73.0
29,74.0,74.0
40,75.0,75.0
33,76.0,76.0
33,77.0,77.0
19,78.0,78.0
34,79.0,79.0
21,80.0,80.0
12,81.0,81.0
28,82.0,82.0
26,83.0,83.0
29,84.0,84.0
28,85.0,85.0
18,86.0,86.0
14,87.0,87.0
23,88.0,88.0
33,89.0,89.0
32,90.0,90.0
33,91.0,91.0
35,92.0,92.0
11,93.0,93.0
21,94.0,94.0
27,95.0,95.0
29,96.0,96.0
23,97.0,97.0
39,98.0,98.0
19,99.0,99.0
16,100.0,100.0
2,101.0,101.0
10,102.0,102.0
7,103.0,103.0
11,104.0,104.0
