numero;cod_uai
1;0333269Z
2;0061661Y
3;0212108C
4;0341143H
5;0596610P
6;0631383L
7;0932059H
8;0290119X
9;0570140T
10;0310152X
11;0693623N
12;0171435T
13;0751150E
14;0693830E
15;0870997L
16;0133479L
17;0440139M
18;0261324Y
19;0450092F
20;0341267T
21;0442837V
22;T593500B
23;0292125C
24;0010016M
25;0011119L
26;0020032Z
27;0020048S
28;0020049T
29;0020050U
30;0020059D
31;0021964Z
32;0030026M
33;0030038A
34;0030051P
35;0031134S
36;0031082K
37;0050003B
38;0050006E
39;0060001U
40;0060011E
41;0060014H
42;0060020P
43;0060031B
44;0060034E
45;0060033D
46;0060670W
47;0060673Z
48;0060677D
49;0060774J
50;0060793E
51;0060914L
52;0062205P
53;0061478Z
54;0061763J
55;0061817T
56;0061841U
57;0070001N
58;0070003R
59;0071126L
60;0080008R
61;0081047V
62;0081084K
63;0090002D
64;0090015T
65;0100004A
66;0100022V
67;0100025Y
68;0100059K
69;0101037Y
70;0110007Y
71;0110023R
72;0120006S
73;0120870F
74;0120937D
75;0121423G
76;0121471J
77;0130036U
78;0130040Y
79;0130048G
80;0130049H
81;0130050J
82;0130051K
83;0130053M
84;0130143K
85;0131398Z
86;0131402D
87;0131403E
88;0131456M
89;0131596P
90;0131656E
91;0131684K
92;0134015U
93;0133648V
94;0134061U
95;0134017W
96;0132210G
97;0132410Z
98;0132733A
99;0133288D
100;0133502L
101;0133525L
102;0140014P
103;0140017T
104;0141112H
105;0141175B
106;0141178E
107;0141234R
108;0141274J
109;0141275K
110;0141408E
111;0141687H
112;0141796B
113;0141872J
114;0142059M
115;0142131R
116;0142132S
117;0142218K
118;0150006A
119;0160003S
120;0160004T
121;0160079Z
122;0160083D
123;0170020E
124;0170022G
125;0170087C
126;0170135E
127;0171405K
128;0171418Z
129;0171455P
130;0171463Y
131;0180007K
132;0180036S
133;0180561M
134;0180571Y
135;0180584M
136;0190010H
137;0190018S
138;0190032G
139;0190087S
140;0190609J
141;0190624A
142;0190862J
143;0195014X
144;0210015C
145;0210018F
146;0210019G
147;0210036A
148;0210047M
149;0211033J
150;0211090W
151;0211091X
152;0211237F
153;0211986V
154;0220027K
155;0220060W
156;0220094H
157;0220097L
158;0220116G
159;0220470S
160;0221033D
161;0221036G
162;0221593M
163;0240023V
164;0240026Y
165;0241092G
166;0241279K
167;0250007X
168;0250008Y
169;0250010A
170;0250011B
171;0251994G
172;0251018W
173;0251028G
174;0251215K
175;0260074P
176;0260113G
177;0260998U
178;0261372A
179;0271053Y
180;0271431J
181;0271582Y
182;0271666P
183;0280019U
184;0281047L
185;0281056W
186;0281077U
187;0290007A
188;0290012F
189;0290051Y
190;0290063L
191;0290069T
192;0290070U
193;0290098Z
194;0290186V
195;0290334F
196;0290335G
197;0290338K
198;0290346U
199;0291208F
200;0290168A
201;0300002P
202;0300021K
203;0300026R
204;0300027S
205;0300077W
206;0300080Z
207;0300127A
208;0300139N
209;0300930Y
210;0301654K
211;0301687W
212;0310024H
213;0310036W
214;0310038Y
215;0310039Z
216;0310040A
217;0310047H
218;0310057U
219;0310155A
220;0311086M
221;0311177L
222;0311186W
223;0311201M
224;0311262D
225;0311270M
226;0311323V
227;0311382J
228;0311383K
229;0311384L
230;0311713U
231;0312061X
232;0312267W
233;0312289V
234;0312354R
235;0312759F
236;0312822Z
237;0320067Z
238;0320691C
239;0330021U
240;0330023W
241;0330027A
242;0330028B
243;0330029C
244;0333357V
245;0331556M
246;0331591A
247;0333298F
248;0331766R
249;0332468D
250;0332473J
251;0332913M
252;0333358W
253;0340011C
254;0340038G
255;0340040J
256;0340132J
257;0340838B
258;0340920R
259;0341089Z
260;0341470N
261;0342066L
262;0350011X
263;0350028R
264;0350029S
265;0350030T
266;0350042F
267;0350697T
268;0350700W
269;0350710G
270;0350774B
271;0350795Z
272;0350797B
273;0350808N
274;0350936C
275;0350937D
276;0221852U
277;0351047Y
278;0352009U
279;0352072M
280;0352379W
281;0360768P
282;0360775X
283;0360778A
284;0370037P
285;0370038R
286;0370748M
287;0370749N
288;0370770L
289;0370781Y
290;0370800U
291;0370881G
292;0371418R
293;0380029A
294;0380033E
295;0380034F
296;0380035G
297;0380081G
298;0380083J
299;0380091T
300;0380092U
301;0381516S
302;0381678T
303;0381775Y
304;0383546Y
305;0381886U
306;0383208F
307;0382371W
308;0382440W
309;0382780R
310;0382863F
311;0382895R
312;0390019J
313;0390029V
314;0390033Z
315;0390091M
316;0391146J
317;0400007R
318;0400750Y
319;0401002X
320;0401016M
321;0410001D
322;0410018X
323;0410981U
324;0420033H
325;0420041S
326;0420042T
327;0420043U
328;0420046X
329;0420957M
330;0420974F
331;0421090G
332;0421095M
333;0421976V
334;0422152L
335;0430021P
336;0430055B
337;0430098Y
338;0430112N
339;0430951A
340;0440012Z
341;0440021J
342;0440024M
343;0440030U
344;0442765S
345;0440062D
346;0440069L
347;0440172Y
348;0440178E
349;0440246D
350;0442774B
351;0442725Y
352;0440288Z
353;0440980B
354;0440982D
355;0442953W
356;0441653H
357;0441656L
358;0441782Y
359;0441946B
360;0441993C
361;0442061B
362;0442095N
363;0442124V
364;0442227G
365;0450040Z
366;0450049J
367;0450050K
368;0450066C
369;0450094H
370;0460007H
371;0460028F
372;0460493L
373;0470003Y
374;0470020S
375;0470927C
376;0480009Z
377;0480657D
378;0480688M
379;0490018D
380;0490073N
381;0490769V
382;0492191R
383;0490886X
384;0492406Z
385;0490904S
386;0490946M
387;0490970N
388;0491027A
389;0492061Z
390;0492089E
391;0492123S
392;0492180D
393;0500060U
394;0500087Y
395;0500112A
396;0501744Z
397;0501828R
398;0501850P
399;0501893L
400;0510007F
401;0510034K
402;0510035L
403;0511026N
404;0511145T
405;0511146U
406;0511296G
407;0511645L
408;0511951U
409;0520727H
410;0520844K
411;0521032P
412;0530012A
413;0530068L
414;0530079Y
415;0530951W
416;0530959E
417;0540040A
418;0540042C
419;0540058V
420;0540066D
421;0540076P
422;0541205S
423;0541207U
424;0541270M
425;0541324W
426;0542493S
427;0542208G
428;0542262R
429;0542408Z
430;0550002D
431;0550025D
432;0550752U
433;0560025Y
434;0560038M
435;0560117Y
436;0560181T
437;0560182U
438;0560858D
439;0560861G
440;0561363C
441;0561718N
442;0561739L
443;0561808L
444;0570030Y
445;0570057C
446;0570058D
447;0570086J
448;0570175F
449;0570210U
450;0570311D
451;0572022N
452;0572081C
453;0573227Y
454;0573281G
455;0573433X
456;0573435Z
457;0580031U
458;0580032V
459;0580055V
460;0580071M
461;0580552K
462;0580582T
463;0580761M
464;0590011S
465;0590018Z
466;0590034S
467;0590035T
468;0590042A
469;0590063Y
470;0590064Z
471;0590071G
472;0590073J
473;0590101P
474;0590119J
475;0590121L
476;0590122M
477;0590184E
478;0590185F
479;0590221V
480;0590258K
481;0597215X
482;0592928M
483;0592969G
484;0593007Y
485;0593052X
486;0593061G
487;0593071T
488;0593136N
489;0593255T
490;0593257V
491;0597132G
492;0597065J
493;0594365Z
494;0594424N
495;0595786U
496;0595809U
497;0596183A
498;0600021X
499;0601700X
500;0601826J
501;0601863Z
502;0601983E
503;0610002W
504;0610692W
505;0610694Y
506;0610698C
507;0610790C
508;0620006V
509;0624430D
510;0620011A
511;0620042J
512;0620052V
513;0620062F
514;0620063G
515;0620095S
516;0620120U
517;0620161N
518;0620166U
519;0620215X
520;0620256S
521;0620257T
522;0622114L
523;0622196A
524;0622198C
525;0622238W
526;0622276M
527;0622803K
528;0622949U
529;0623218L
530;0623277A
531;0623902E
532;0623911P
533;0623915U
534;0623920Z
535;0623957P
536;0623981R
537;0623985V
538;0624141P
539;0630020E
540;0630021F
541;0630052P
542;0630069H
543;0630077S
544;0632085Z
545;0632084Y
546;0631985R
547;0640001D
548;0640010N
549;0640044A
550;0640055M
551;0640057P
552;0640111Y
553;0640137B
554;0640251A
555;0641441U
556;0641545G
557;0642126N
558;0641842E
559;0641919I
560;0642131U
561;0650025Z
562;0650026A
563;0650027B
564;0650065T
565;0650139Y
566;0660010C
567;0660021P
568;0660059F
569;0660077A
570;0660437S
571;0660699B
572;0660809W
573;0670020H
574;0670041F
575;0670057Y
576;0670084C
577;0670085D
578;0670087F
579;0671509B
580;0671557D
581;0671636P
582;0671639T
583;0672050P
584;0672198A
585;0672834S
586;0673021V
587;0680001G
588;0680031P
589;0680053N
590;0680066C
591;0680151V
592;0680169P
593;0681166Y
594;0681768C
595;0681801N
596;0690026D
597;0690046A
598;0690029G
599;0690032K
600;0690037R
601;0690038S
602;0690040U
603;0690074F
604;0690082P
605;0690128P
606;0690195M
607;0690274Y
608;0690520R
609;0690521S
610;0690522T
611;0690574Z
612;0690539L
613;0690563M
614;0690564N
615;0690646C
616;0690671E
617;0691678Z
618;0691774D
619;0691860X
620;0692437Z
621;0692866R
622;0693330V
623;0693478F
624;0693521C
625;0700009E
626;0700905D
627;0701052N
628;0710010A
629;0710023P
630;0710042K
631;0710045N
632;0710048S
633;0711137A
634;0711372F
635;0711690B
636;0711775U
637;0711896A
638;0720029R
639;0720033V
640;0721684P
641;0720916E
642;0721094Y
643;0721381K
644;0730003G
645;0730016W
646;0730760E
647;0730763H
648;0730813M
649;0730858L
650;0731248K
651;0731392S
652;0731487V
653;0740005D
654;0740006E
655;0740017S
656;0740046Y
657;0740051D
658;0740082M
659;0741101V
660;0741133E
661;0741418P
662;0741476C
663;0750463W
664;0750647W
665;0750650Z
666;0750654D
667;0750660K
668;0750663N
669;0750667T
670;0750671X
671;0750674A
672;0750677D
673;0750680G
674;0750685M
675;0750686N
676;0750688R
677;0750691U
678;0750692V
679;0750696Z
680;0750697A
681;0750698B
682;0750699C
683;0750707L
684;0750710P
685;0750712S
686;0750715V
687;0751708Z
688;0751717J
689;0751719L
690;0751720M
691;0755976N
692;0751875F
693;0752139T
694;0753268V
695;0753488J
696;0753537M
697;0753541S
698;0753840S
699;0754016H
700;0754029X
701;0754030Y
702;0754042L
703;0754086J
704;0754247J
705;0754475G
706;0754666P
707;0760005T
708;0760029U
709;0760030V
710;0760032X
711;0760052U
712;0760054W
713;0760056Y
714;0760091L
715;0760110G
716;0760169W
717;0760170X
718;0761315S
719;0761688X
720;0761719F
721;0761904G
722;0763111U
723;0762765T
724;0762879S
725;0762880T
726;0762964J
727;0763096C
728;0763237F
729;0770918E
730;0770920G
731;0770922J
732;0770931U
733;0770933W
734;0770934X
735;0770938B
736;0771171E
737;0771436T
738;0771658J
739;0771940R
740;0771996B
741;0772120L
742;0772153X
743;0772188K
744;0772229E
745;0772276F
746;0772292Y
747;0772310T
748;0772312V
749;0772346G
750;0772347H
751;0772894C
752;0780422K
753;0781512V
754;0781898P
755;0782075G
756;0781945R
757;0781944P
758;0782117C
759;0782539L
760;0782549X
761;0782557F
762;0782562L
763;0782565P
764;0782567S
765;0782924E
766;0783053V
767;0783344L
768;0790007D
769;0790036K
770;0791062A
771;0791090F
772;0791171U
773;0800009A
774;0800011C
775;0801207C
776;0801209E
777;0801265R
778;0801272Y
779;0801327H
780;0801344B
