numero;dep
1;33
2;06
3;21
4;34
5;59
6;63
7;93
8;29
9;57
10;31
11;69
12;17
13;75
14;87
15;13
16;44
17;26
18;45
19;01
20;02
21;03
22;05
23;07
24;08
25;09
26;10
27;11
28;12
29;14
30;15
31;16
32;18
33;19
34;22
35;24
36;25
37;27
38;28
39;30
40;32
41;35
42;36
43;37
44;38
45;39
46;40
47;41
48;42
49;43
50;46
51;47
52;48
53;49
54;50
55;51
56;52
57;53
58;54
59;55
60;56
61;58
62;60
63;61
64;62
65;64
66;65
67;66
68;67
69;68
70;70
71;71
72;72
73;73
74;74
75;76
76;77
77;78
78;79
79;80
80;81
81;82
82;83
83;84
84;85
85;86
86;88
87;89
88;90
89;91
90;92
91;94
92;95
93;2A
94;2B
95;971
96;972
97;973
98;974
99;987
100;976
101;978
102;23
103;99
104;04
