numero;dep_lib
1;Gironde
2;Alpes-Maritimes
3;Côte-d'or
4;Hérault
5;Nord
6;Puy-de-Dôme
7;Seine-Saint-Denis
8;Finistère
9;Moselle
10;Haute-Garonne
11;Rhône
12;Charente-Maritime
13;Paris
14;Haute-Vienne
15;Bouches-du-Rhône
16;Loire-Atlantique
17;Drôme
18;Loiret
19;Ain
20;Aisne
21;Allier
22;Hautes-Alpes
23;Ardèche
24;Ariège
25;Ardennes
26;Aube
27;Aude
28;Aveyron
29;Calvados
30;Cantal
31;Charente
32;Cher
33;Corrèze
34;Côtes-d'armor
35;Dordogne
36;Doubs
37;Eure
38;Eure-et-Loir
39;Gard
40;Gers
41;Ille-et-Vilaine
42;Indre
43;Indre-et-Loire
44;Isère
45;Jura
46;Landes
47;Loir-et-Cher
48;Loire
49;Haute-Loire
50;Lot
51;Lot-et-Garonne
52;Lozère
53;Maine-et-Loire
54;Manche
55;Marne
56;Haute-Marne
57;Mayenne
58;Meurthe-et-Moselle
59;Meuse
60;Morbihan
61;Nièvre
62;Oise
63;Orne
64;Pas-de-Calais
65;Pyrénées-Atlantiques
66;Hautes-Pyrénées
67;Pyrénées-Orientales
68;Bas-Rhin
69;Haut-Rhin
70;Haute-Saône
71;Saône-et-Loire
72;Sarthe
73;Savoie
74;Haute-Savoie
75;Seine-Maritime
76;Seine-et-Marne
77;Yvelines
78;Deux-Sèvres
79;Somme
80;Tarn
81;Tarn-et-Garonne
82;Var
83;Vaucluse
84;Vendée
85;Vienne
86;Vosges
87;Yonne
88;Territoire de Belfort
89;Essonne
90;Hauts-de-Seine
91;Val-de-Marne
92;Val-d'oise
93;Corse du Sud
94;Haute-Corse
95;Guadeloupe
96;Martinique
97;Guyane
98;La Réunion
99;Polynésie française
100;Mayotte
101;Saint-Martin
102;Creuse
103;Etranger
104;Alpes-de-Haute-Provence
