numero;detail_forma
1;Bac général
2;bac STI2D
3;Bac Général
4;Bacs généraux - 2 Sciences
5;Bac Série générale
6;Approfondissement en : marketing digital, international, sport & business et approfondissement personnalisable
7;
8;Anglais-Espagnol
9;Affaires et Commerce International
10;LLCER Anglais
11;LLCER Italien
12;LEA Anglais-Allemand
13;LEA Anglais-Arabe
14;LEA Anglais-Chinois
15;LEA Anglais-Espagnol
16;LEA Anglais-Portugais
17;Espagnol
18;Italien
19;Langues Etrangères Appliquées (LEA) : anglais - indonésien
20;STAPS Brive
21;Prépa ENS - Rennes
22;Prépa ENS Paris-Saclay
23;Métiers des langues - Allemand
24;Allemand
25;Anglais
26;Lettres modernes
27;Anglais-Allemand
28;Lettres Classiques
29;Lettres modernes appliquées
30;Biologie-environnement
31;parcours Economie et Gestion
32;Bilingue Droit et monde Hispanique
33;Italien (non-débutants)
34;Langue et culture japonaises
35;Russe
36;Design, Prospective et Société
37;Géographie, Aménagement et Environnement
38;Licence 1 - Allemand
39;Licence 1 LEA - Anglais-Allemand
40;Licence 1 Philosophie
41;bac général
42;Economie gestion
43;AES
44;Grec moderne
45;Anglais-Russe
46;Economie-gestion Section internationale
47;Antenne universitaire de la ville de Saint Brieuc - Administration Economique et  Sociale
48;Etudes Arabes - confirmé  (niveau B1/B2 attendu)
49;Histoire de l'Art
50;Musique et Musicologie
51;Double Licence : Economie-Gestion-Langues
52;Russe débutant
53;Anglais-Arabe débutant
54;LLCER : Italien Monolingue et Bilingue
55;SVTC ? Sciences de la Vie et de la Terre, Chimie (Biologie, Géologie, Chimie)
56;STAPS
57;Bachelor Océanographe - Prospecteur
58;Licence 1ère année Portail Sciences pour l'ingénieur
59;Anglais - Polonais
60;Anglais - Espagnol
61;Marketing vente, Economie appliquée, Comptabilité Finance, Management des organisations,
62;Musique (en partenariat avec le Conservatoire à Rayonnement Régional de Metz)
63;Licence 1ère année Portail Physique - Chimie
64;Génie Electrique Informatique Industrielle
65;Ingénierie Mécanique
66;Néerlandais
67;Sociologie -histoire
68;Anglais chinois appliqués aux affaires
69;Anglais/Allemand - LEA
70;Anglais/Espagnol - LEA
71;Espagnol - LLCER
72;Anglais/Portugais
73;Italien disciplinaire
74;Anglais/Italien
75;Anglais/Allemand
76;Lettres classiques
77;Etudes européennes et internationales franco-allemandes, double diplôme Bachelor of Arts Deutsch-Französische Stüdien (Université de Regensburg)
78;Etudes européennes et internationales franco-italiennes, double diplôme Cursus Conservazione dei Beni Culturali - Studi italo-francesi (Univ. d'Udine)
79;bac S,STI2D
80;Physique - Chimie
81;Études chorégraphiques (Danse)
82;Études théâtrales
83;Études anglophones
84;Études ibériques et ibéro-américaines
85;Mathématiques et Informatique
