numero;form_lib_voe_acc
1;Formations  des écoles d'ingénieurs
2;Formation des écoles de commerce et de management
3;BTS - Production
4;BTS - Services
5;DCG
6;BUT - Service
7;Classe préparatoire scientifique
8;BUT - Production
9;Mise à niveau
10;BTS - Agricole
11;Licence - Sciences humaines et sociales
12;Licence - Arts-lettres-langues
13;Classe préparatoire littéraire
14;CUPGE - Sciences, technologie, santé
15;Licence - Sciences - technologies - santé
16;Classe préparatoire économique et commerciale
17;Licence - Droit-économie-gestion
18;DEUST
19;D.E secteur sanitaire
20;Licence - STAPS
21;Formations Bac + 5
22;Mention complémentaire
23;Cadre Technique
24;Diplôme d'Etablissement
25;Année préparatoire
26;Diplôme National d'Art
27;Formation professionnelle
28;CUPGE - Droit-économie-gestion
29;C.M.I - Cursus Master en Ingénierie
30;Diplôme d'Université
31;Classe préparatoire aux études supérieures
32;BPJEPS
33;DN MADE
34;D.E secteur social
35;FCIL
36;Formation valant grade de licence
37;Sciences politiques
38;Formation des écoles supérieure d'art
39;Formation des écoles supérieures de cuisine
40;Formations des écoles vétérinaires
41;LP - Sciences - technologies - santé
42;LP -  Sciences Humaines et Sociales
43;CPES
44;BTS - Maritime
45;DEJEPS
46;Licence - Arts-lettres-langues / Sciences humaines et sociales
47;Licence - Droit-économie-gestion / Arts-lettres-langues
48;CUPGE - Arts Lettres Langues
49;LP - Droit-économie-gestion
50;Certificat de Spécialisation Agricole
51;Diplôme d'établissement
52;Licence - Droit-économie-gestion / Sciences humaines et sociales
53;Licence - Droit-économie-gestion / Sciences - technologies - santé
54;Formations Bac + 3
55;Formations des écoles nationales vétérinaires
56;Licence - Sciences humaines et sociales / Sciences - technologies - santé
57;DUT - Production
58;DUT - Service
59;CUPGE - Sciences humaines et sociales
60;Formations d'ingénieurs
61;Ecoles de commerce et de management
62;BTSA
63;Ecole d'architecture
64;Bachelor
65;Diplôme des métiers d'Arts
66;Classes préparatoires aux écoles paramédicales
67;Ecole supérieure d'art
68;Technicien supérieur
69;Formation en ingénierie
70;DU
71;Titre professionnel
72;Diplôme accrédité par un Etat étranger
73;Ecoles de commerce
74;Formations diplômantes paramédicales
75;Formations diplômantes du social
76;Classes préparatoires aux écoles du social
