numero;g_ea_lib_vx
1;La Prépa des INP - Groupe INP - Bordeaux
2;Polytech Nice Sophia
3;ESIREM Dijon
4;Polytech Montpellier
5;Polytech Lille
6;Polytech Clermont
7;Sup Galilée Paris
8;ENIB Brest
9;ENIM Metz
10;INSA Toulouse
11;CPE Lyon
12;EIGSI La Rochelle
13;ESME Sudria Paris
14;ESME Sudria Lyon
15;3iL
16;IUT Aix-Marseille - Site de Marseille Luminy
17;I.U.T. Nantes
18;Grenoble INP - ESISAR Valence
19;I.U.T d'Orléans
20;IDRAC Business School - Campus de MONTPELLIER
21;ISEN Nantes
22;ESME Sudria Bordeaux
23;ISEN Brest
24;Lycée Joseph-Marie Carriat
25;Lycée Arbez Carme
26;Lycée Paul Claudel
27;Lycée Henri Martin
28;Lycée Pierre de La Ramee
29;Lycée Condorcet
30;Lycée Gérard de Nerval
31;IUT de l'Aisne - Site de Laon
32;Lycée Paul Constans
33;Lycée Polyvalent Jean Monnet
34;Lycée Général et Technologique Albert Londres
35;I.U.T Clermont Auvergne - site de Montluçon
36;Lycée Valery Larbaud
37;Lycée D'Altitude
38;Lycée Dominique Villars
39;Lycée Jacques Audiberti
40;Lycée Carnot
41;Lycée Jules Ferry
42;Lycée Amiral De Grasse
43;Lycée Albert Calmette
44;Lycée des Métiers - Hôtelier et Tourisme Paul Augier
45;Lycée Honoré d'Estienne d'Orves (Beau-Site)
46;Institut Sainte Marie de Chavagnes
47;Lycée Stanislas
48;Lycée Sasserno
49;Lycée Saint Joseph
50;Lycée Vert d'Azur Antibes
51;I.U.T Nice-Côte d'Azur
52;Université Côte d'Azur
53;Lycée Léonard De Vinci
54;Lycée Guillaume APOLLINAIRE
55;I.U.T de Nice - Antenne de Valbonne
56;I.U.T de Nice - Antenne de Cannes
57;Lycée Boissy D'Anglas
58;Lycée Marcel Gimond
59;Institut Supérieur Saint-Denis
60;Lycée François Bazin
61;Lycée Bazeilles
62;IUT Reims-Châlons-Charleville site de Charleville
63;Lycée Gabriel Faure
64;Lycée polyvalent Pyrène
65;Lycée professionnel VAL MORé (maintenance des matériels...)
66;Lycée Chrestien de Troyes
67;Lycée Les Lombards
68;Lycée LA SALLE
69;Campus des Comtes de champagne - URCA
70;Lycée Jules Fil
71;Lycée polyvalent Louise Michel
72;Lycée La Découverte
73;I.U.T de Rodez
74;L.E.G.T.A. Rodez-La Roque
75;Lycée Charles Carnus
76;Institut national universitaire Champollion - Campus de Rodez
77;Lycée Perier
78;Lycée Thiers
79;Lycée Saint Exupery
80;Lycée Rempart (Rue Du)
81;Lycée Denis Diderot
82;Lycée Marie Curie
83;Lycée Jean Perrin
84;Lycée Paul Langevin
85;Lycée Maximilien de Sully
86;Lycée Charles Peguy
87;Lycée St Vincent De Paul
88;Lycée Pastré - Grande Bastide
89;Lycée Militaire d'Aix-en-Provence
90;Lycée agricole Aix-Valabre
91;Lycée Jeanne Perrimond
92;Aix-Marseille Université - Site de Marseille Saint Charles
93;IUT Aix-Marseille - Site de la Ciotat
94;IUT Aix-Marseille - Site d'Aix-En-Provence
95;Aix Marseille Université - Site d'Aix-en-Provence
96;Lycée Jean Lurçat
97;Lycée Maurice Genevoix
98;Lycée Antonin Artaud
99;Lycée Jean Monnet
100;I.U.T d'Aix-Marseille - Site de Salon-De-Provence
101;Lycée Georges Duby
102;Lycée Augustin Fresnel
103;Lycée Jean Rostand
104;Lycée agricole Le Robillard
105;Lycée Institut Lemonnier
106;Lycée Sainte Ursule
107;IUT GRAND OUEST NORMANDIE - Pôle de Caen - Site de Caen
108;Lycée Arcisse De Caumont
109;Lycée Paul Cornu
110;Université de Caen Normandie
111;Lycée Jules Verne
112;Lycée Salvador Allende
113;MFREO de Maltot
114;Lycée Victor Hugo
115;Lycée Jules Dumont d'Urville
116;Lycée Francois Rabelais
117;IUT GRAND OUEST NORMANDIE - Pôle de Caen - Site d'Ifs
118;Lycée Jean Monnet - Mermoz
119;Lycée Marguerite De Valois
120;Lycée Charles A. COULOMB
121;Lycée Sainte Marthe Chavagnes
122;Lycée Saint Joseph L'Amandier
123;Lycée Emile Combes
124;Lycée Maurice Merleau-Ponty
125;Lycée agricole Georges Desclaude
126;Lycée Jean Hyppolite
127;Lycée des Métiers - Hotelier
128;Lycée Saint-Exupery
129;Lycée Marcel Dassault
130;Université de La Rochelle
131;Lycée Jacques Coeur
132;Lycée Henri Brisson
133;Lycée Sainte Marie Saint Dominique
134;Lycée St Jean Baptiste De La Salle
135;I.U.T de Bourges
136;Lycée Georges Cabanis
137;Lycée Pierre Caraminot
138;Lycée Edmond Perrier
139;Lycée agricole HENRI QUEUILLE
140;Ecole Forestière de Meymac
141;LEGTA Edgard PISANI de Tulle-Naves
142;I.U.T du Limousin - site de Tulle
143;Université de Limoges - Antenne de Brive
144;Lycée Hippolyte Fontaine
145;Lycée Le Castel
146;Lycée agricole Viticole
147;Lycée Anna Judic Semur en Auxois
148;Lycée Gustave Eiffel
149;Lycée saint bénigne
150;Lycée Les Arcades
151;Université de Bourgogne - site de Dijon
152;Lycée Les Marcs D'Or
153;Lycée Fulgence Bienvenue
154;Lycée Eugene Freyssinet
155;Lycée Les Cordeliers Notre Dame de la Victoire
156;Lycée-Collège NOTRE-DAME
157;Lycée/Pôle supérieur Saint BRIEUC
158;Lycée agricole Kernilien
159;Lycée agricole ESPA
160;I.U.T de Lannion
161;Lycée Pommerit Jaudy
162;Lycée agricole DE PERIGUEUX
163;Lycée Albert Claveille
164;MAISON FAMILIALE RURALE
165;I.U.T de Bordeaux - Site de Périgueux
166;Lycée Louis Pasteur
167;Lycée Louis Pergaud
168;Lycée Jules Haag
169;Lycée polyvalent Germaine Tillion
170;I.U.T de Besançon
171;Institution Notre-Dame Saint-Jean - LYCEE
172;Université de Franche-Comté - Site de Besançon
173;Lycée Montplaisir
174;Lycée Les Catalins
175;I.U.T de Valence
176;Université Grenoble Alpes - Antenne de Valence
177;Lycée Saint-Adjutor
178;Lycée Jacques Prevert
179;Lycée Marc Bloch
180;I.U.T d'Evreux
181;Lycée Rotrou
182;Lycée Fulbert
183;I.U.T de Chartres
184;Lycée Silvia Monfort
185;Lycée La Pérouse - Kerichen
186;Lycée Vauban
187;Lycée Tristan Corbiere
188;Lycée Naval
189;Lycée Auguste Brizeux
190;Lycée Jean Chaptal
191;Lycée de Cornouaille
192;Lycée Le Paraclet
193;I.U.T de Brest
194;Lycée La Croix Rouge
195;Lycée Sainte Anne
196;Université de Brest
197;Ecole du Nivot
