numero;g_olocalisation_des_formations
1;44.80119,-0.61112
2;43.6156,7.07172
3;47.3122,5.07398
4;43.6313,3.86108
5;50.6077,3.13667
6;45.7607,3.10901
7;48.9575,2.34
8;48.36075,-4.56664
9;49.0926,6.22677
10;43.5704,1.46794
11;45.7841,4.86893
12;46.13978,-1.15464
13;48.847,2.3291
14;45.7542,4.82705
15;45.8191,1.27205
16;43.2327,5.44202
17;47.298,-1.50139
18;44.9172,4.91368
19;47.8438,1.9266
20;43.643,3.83507
21;47.2749,-1.50702
22;44.866,-0.57454
23;48.407,-4.49558
24;46.197,5.22398
25;46.2578,5.65534
26;49.5654,3.6097
27;49.8499,3.28411
28;49.851,3.30076
29;49.8605,3.29397
30;49.3859,3.32373
31;49.5596,3.61076
32;46.3359,2.57751
33;46.5682,3.35784
34;46.1317,3.44232
35;46.33333,2.6
36;46.132,3.4565
37;44.8991,6.64001
38;44.5613,6.07589
39;43.5743,7.11689
40;43.564,7.01827
41;43.5597,7.02186
42;43.6511,6.92107
43;43.7039,7.2714
44;43.6679,7.21225
45;43.69804,7.24318
46;43.552,7.0311
47;43.5526,7.00834
48;43.7024,7.27063
49;43.7017,7.28286
50;43.5984,7.11307
51;43.6872,7.22786
52;43.6926,7.23686
53;43.6925,7.23686
54;43.6051,7.07146
55;43.7155,7.28215
56;43.6166,7.07164
57;43.551,6.9593
58;45.2477,4.67136
59;44.6195,4.38318
60;45.2422,4.67776
61;49.772,4.70789
62;49.6791,4.98211
63;49.7393,4.71857
64;42.962,1.60487
65;43.1144,1.6086
66;48.1107,4.38794
67;48.2689,4.07874
68;48.2728,4.07424
69;48.2969,4.0818
70;48.2977,4.08039
71;43.2138,2.37136
72;43.19,3.01904
73;44.5677,2.2524
74;44.3599,2.57651
75;44.3697,2.59017
76;44.3556,2.55569
77;44.3545,2.5636
78;43.2807,5.38063
79;43.2968,5.38259
80;43.3463,5.35422
81;43.289,5.36527
82;43.3252,5.41444
83;43.2938,5.40047
84;43.2746,5.42654
85;43.4165,5.0584
86;43.2917,5.38826
87;43.288,5.37426
88;43.2873,5.37812
89;43.2627,5.42164
90;43.527,5.45958
91;43.4682,5.4548
92;43.2795,5.36825
93;43.3048,5.37902
94;43.1733,5.60437
95;43.5137,5.45147
96;43.5154,5.44724
97;43.41735,5.03572
98;43.4135,5.20471
99;43.3407,5.42315
100;43.4246,5.27254
101;43.6391,5.10974
102;43.5163,5.46959
103;49.1636,-0.35379
104;49.1614,-0.3533
105;48.9883,-0.00522
106;49.1926,-0.35047
107;49.18164,-0.35528
108;49.2123,-0.36609
109;49.2843,-0.70974
110;49.1628,0.21903
111;49.1889,-0.36388
112;49.168,-0.32733
113;49.2033,-0.34486
114;49.1311,-0.41092
115;49.1929,-0.35958
116;49.1976,-0.35452
117;49.1498,-0.35811
118;49.149,-0.35304
119;44.931,2.445
120;45.6535,0.17808
121;45.6304,0.15709
122;45.6496,0.15119
123;45.69425,0.1194
124;45.5794,-0.55253
125;45.9507,-0.97137
126;45.76008,-0.64874
127;45.75998,-0.64885
128;45.4454,-0.43106
129;46.1434,-1.16026
130;46.1569,-1.18157
131;45.9474,-0.95889
132;46.1476,-1.15511
133;47.0719,2.40989
134;47.2286,2.06146
135;47.0771,2.40321
136;47.1029,2.40681
137;47.0986,2.41682
138;45.1595,1.52387
139;45.4066,2.05986
140;45.2673,1.76883
141;45.3781,2.27338
142;45.5346,2.15505
143;45.323,1.76919
144;45.2608,1.75047
145;45.1547,1.5092
146;47.3237,5.04925
147;47.3173,5.05106
148;47.3126,5.03653
149;47.0243,4.82912
150;47.492,4.33721
151;47.334,5.06765
152;47.3302,5.01753
153;47.31175,5.05025
154;47.3107,5.07592
155;47.3135,5.06425
156;47.3165,4.99748
157;48.1847,-2.75862
158;48.5208,-2.77887
159;48.4464,-2.05052
160;48.5618,-3.14308
161;48.50043,-2.76855
162;48.5617,-3.19668
163;48.4258,-2.66701
164;48.7584,-3.45128
165;48.7422,-3.24498
166;45.1746,0.69667
167;45.1903,0.71401
168;45.1913,0.71807
169;45.1965,0.71765
170;47.2189,5.97849
171;47.2382,6.02006
172;47.265,6.04372
173;47.2389,6.01261
174;47.4945,6.81148
175;47.2476,5.9911
176;47.2601,6.02085
177;47.2601,6.02125
178;47.2405,6.02271
179;47.2342,6.02561
180;44.9229,4.91878
181;44.9313,4.90875
182;44.919,4.91665
183;44.57,4.76063
184;44.9157,4.91537
185;44.9327,4.90325
186;44.9342,4.90341
187;44.93407,4.90294
188;49.0862,1.45747
189;49.3502,0.52395
190;49.2688,1.20228
191;49.0177,1.13514
192;48.7343,1.36241
193;48.4464,1.50854
194;48.4423,1.49523
195;48.4189,1.45595
196;48.4059,-4.48107
197;48.4075,-4.48218
198;48.5695,-3.82209
199;48.3693,-4.52565
200;47.9926,-4.11239
201;47.9914,-4.11872
202;47.9896,-4.12367
203;47.9951,-4.11407
204;48.3989,-4.50379
205;48.4099,-4.48779
206;48.3968,-4.49057
207;48.3923,-4.48848
208;48.3919,-4.48826
209;48.3125,-4.01035
210;47.862,-4.21653
211;44.1311,4.07527
212;43.8358,4.35761
213;43.8277,4.35688
214;43.8249,4.35335
215;44.1341,4.08537
216;43.8344,4.37175
217;43.8349,4.36192
218;43.8297,4.44382
219;43.8186,4.33113
220;43.7864,4.30966
221;43.8423,4.35646
222;43.83943,4.36469
223;43.4533,1.33009
224;43.6033,1.43927
225;43.5616,1.46017
226;43.5882,1.4426
227;43.638,1.46135
228;43.6099,1.44234
229;43.6134,1.43445
230;43.5954,1.44301
231;43.5702,1.46489
232;43.5655,1.45883
233;43.5928,1.46888
234;43.6145,1.44281
235;43.65697,1.42505
236;43.53698,1.48904
237;43.5366,1.5226
238;43.5847,1.39421
239;43.6067,1.43696
240;43.5784,1.40266
241;43.5608,1.46936
242;43.6496,1.37449
243;43.5292,1.48948
244;43.5922,1.41776
245;43.5398,1.54871
246;43.7825,1.31648
247;43.573,1.42441
248;43.4995,1.30972
249;43.6314,0.5882
250;43.6469,0.57713
251;44.8335,-0.57306
252;44.8446,-0.59018
253;44.8392,-0.55548
254;44.8289,-0.56441
255;44.824,-0.57015
256;44.791,-0.60862
257;44.8322,-0.57992
258;44.8498,-0.59419
259;44.7938,-0.61486
260;44.7966,-0.61747
261;44.8668,-0.56791
262;44.8849,-0.32092
263;44.8851,-0.32111
264;44.808,-0.59514
265;44.797,-0.61796
266;44.8446,-0.55789
267;43.3432,3.23372
268;43.6112,3.88407
269;43.612,3.8483
270;43.6365,3.85694
271;43.6362,3.85107
272;43.6375,3.83264
273;43.6326,3.86925
274;43.646,3.54288
275;43.711,3.83345
276;48.3485,-1.19999
277;48.0851,-1.69159
278;48.1262,-1.64799
279;48.134,-1.68403
280;48.6403,-2.00704
281;48.1158,-1.63576
282;48.0997,-1.80391
283;48.1241,-1.65012
284;47.6496,-2.08327
285;48.1251,-1.66834
286;48.1194,-1.65369
287;48.11862,-1.2093
288;48.1161,-1.6767
289;48.12162,-1.70445
290;48.5134,-2.7417
291;48.12506,-1.7363
292;48.1266,-1.68934
293;48.6501,-2.0256
294;48.6571,-1.96914
295;46.8098,1.69042
296;46.9492,2.00281
297;46.8112,1.68466
298;47.4348,0.68479
299;47.3602,0.70009
300;47.3353,0.6525
301;47.3456,0.72164
302;47.4077,0.70212
303;47.4024,0.63746
304;47.3962,0.6819
305;47.3962,0.68196
306;47.3962,0.68194
307;47.3561,0.70287
308;47.3561,0.70282
309;47.4024,0.71811
310;47.4241,0.70553
311;45.1786,5.71163
312;45.1722,5.70833
313;45.1683,5.70642
314;45.1676,5.70923
315;45.5306,4.86557
316;45.5045,4.85348
317;45.3697,5.58958
318;45.3616,5.60061
319;45.1986,5.77475
320;45.5223,4.8702
321;45.5224,4.87001
322;45.5224,4.86999
323;45.1918,5.71702
324;45.1652,5.72838
325;45.1893,5.77272
326;45.1914,5.7729
327;45.19085,5.77457
328;45.1906,5.77418
329;45.1906,5.7742
330;45.1905,5.77469
331;45.5461,4.86179
332;45.2124,5.75817
333;45.7241,5.21681
334;45.6084,5.15538
335;45.185,5.69421
336;45.2141,5.78227
337;45.6234,5.21701
338;45.5133,4.86037
339;46.6796,5.55133
340;46.9698,5.79739
341;46.8348,5.7088
342;46.7467,5.90633
343;47.0944,5.49385
344;43.7018,-1.05619
345;43.6589,-1.06757
346;43.7295,-1.03852
347;43.6949,-1.05786
348;47.5976,1.3312
349;47.7953,1.08756
350;47.7953,1.08741
351;47.5844,1.32571
352;46.0441,4.07521
353;45.438,4.39398
354;45.4397,4.38718
355;45.4175,4.42119
356;45.4375,4.39699
357;45.4238,4.43145
358;46.0364,4.0625
359;46.0952,4.18693
360;45.42671,4.39217
361;45.4246,4.39278
362;45.42673,4.39215
363;45.5303,4.27181
364;46.0439,4.0717
365;45.0486,3.89428
366;45.053,3.91435
367;45.0453,3.88623
368;45.2946,3.4242
369;45.0398,3.88087
370;47.2868,-2.37445
371;47.2189,-1.5448
372;47.2164,-1.56839
373;47.2535,-1.57199
374;47.2091,-1.53148
375;47.1822,-1.56086
376;47.2735,-2.23314
377;47.2419,-1.56264
378;47.2745,-2.20785
379;47.2069,-1.6088
380;47.2317,-1.56051
381;47.222,-1.55873
382;47.2046,-1.60936
383;47.2015,-1.31924
384;47.2623,-2.2676
385;47.24476,-1.55108
386;47.24456,-1.55104
387;47.2446,-1.551
388;47.2454,-1.55139
389;47.1914,-1.51543
390;47.1697,-1.62363
391;47.2256,-1.51221
392;47.2129,-1.55884
393;47.2299,-1.59555
394;47.2522,-1.64092
395;47.1943,-1.44466
396;47.2141,-1.55976
397;47.203,-1.54546
398;48.01,2.7538
399;47.9079,1.90916
400;47.9067,1.91276
401;47.8962,1.86204
402;47.9753,2.76812
403;44.4499,1.43925
404;44.89518,1.48061
405;44.4635,1.45508
406;44.1985,0.61442
407;44.5051,0.15673
408;44.1853,0.62497
409;44.525,3.47913
410;44.4354,3.24198
411;44.804,3.27326
412;47.0462,-0.88538
413;47.4592,-0.54405
414;47.4816,-0.60209
415;47.0491,-0.86341
416;47.0631,-0.85852
417;47.049,-0.86328
418;47.064,-0.86785
419;47.44243,-0.58626
420;47.4796,-0.6029
421;47.48033,-0.59969
422;47.4366,-0.54219
423;47.4752,-0.56819
424;47.4896,-0.52701
425;47.4912,-0.5508
426;47.4428,-0.52425
427;49.1713,-1.17395
428;48.5717,-1.09812
429;48.6867,-1.37048
430;49.6554,-1.56916
431;49.6386,-1.62905
432;48.8309,-1.58084
433;49.6338,-1.64833
434;48.9751,4.3596
435;49.2624,4.02686
436;49.2512,4.02733
437;49.2515,4.03952
438;49.2416,4.06006
439;49.2467,4.01349
440;49.2583,4.0317
441;49.237,4.00048
442;49.237,4.00052
443;49.237,4.001
444;49.2565,3.95484
445;48.9555,4.34213
446;48.1051,5.17159
447;48.1048,5.14785
448;48.0737,5.14625
449;48.0683,-0.75872
450;48.0673,-0.76324
451;48.2995,-0.62308
452;48.0856,-0.75795
453;48.0862,-0.7584
454;48.6801,6.16683
455;48.69,6.19211
456;48.9062,6.05744
457;48.6784,5.89305
458;49.1576,5.87604
459;48.662,6.15226
460;48.7305,6.18038
461;48.9097,6.05667
462;48.6826,6.16211
463;48.66708,6.15713
464;48.66439,6.15909
465;48.69435,6.16634
466;48.69423,6.16634
467;48.69415,6.1663
468;48.6637,6.15293
469;48.6831,6.15133
470;48.6921,6.18442
471;48.7774,5.15695
472;49.1562,5.39033
473;48.7653,5.18668
474;47.7479,-3.37043
475;48.0661,-2.96307
476;47.6498,-2.76292
477;47.749,-3.39277
478;48.0718,-2.96024
479;47.9488,-2.40328
480;47.6442,-2.77691
481;47.7446,-3.38672
482;47.7429,-3.3849
483;47.6451,-2.7454
484;48.0841,-2.97339
485;49.17805,6.89451
486;49.1193,6.17572
487;49.1064,6.16778
488;49.1075,6.3814
489;49.1203,6.16281
490;49.0993,6.21771
491;49.0729,6.21735
492;49.1047,6.19359
493;49.1991,6.69759
494;49.1208,6.162
495;49.12069,6.16192
496;49.1208,6.16234
497;49.11606,6.21403
498;49.125,6.16438
499;49.1006,6.22311
500;49.114,7.07166
501;49.3501,6.17432
502;47.0036,3.16112
503;47.0048,3.15778
504;46.9436,3.15809
505;46.99,3.15261
506;47.0602,3.93829
507;47.0597,3.94147
508;46.8282,3.44514
509;50.68919,2.87196
510;50.1211,3.92521
511;50.1735,3.24136
512;50.1762,3.22926
513;50.103,3.54121
514;50.3743,3.08316
515;50.3746,3.07835
516;51.0368,2.38402
517;51.0466,2.41102
518;50.7284,2.53187
519;50.6151,3.07574
520;50.6177,3.06739
521;50.6473,3.07231
522;50.6964,3.19588
523;50.6851,3.17247
524;50.3641,3.52067
525;50.6134,3.0784
526;50.64842,3.15666
527;50.6136,3.13651
528;50.1999,3.8304
529;50.3542,3.4991
530;50.6396,3.08675
531;50.3275,3.51437
532;50.1701,3.229
533;50.3715,3.08187
534;50.7232,2.53016
535;50.3901,3.06595
536;50.5281,3.20601
537;50.3234,3.51418
538;50.3232,3.51419
539;50.605,3.03957
540;50.6277,3.12462
541;50.6276,3.12474
542;50.629,3.12595
543;51.0378,2.3709
544;50.72441,3.16404
545;50.6252,3.13072
546;50.6969,3.16526
547;50.6507,2.99656
548;50.3661,3.51313
549;50.27657,3.98431
550;49.2574,2.47414
551;49.4161,2.82968
552;49.1932,2.56956
553;49.4178,2.82614
554;49.4306,2.08936
555;48.4169,0.08947
556;48.4301,0.09857
557;48.7464,-0.01438
558;48.7535,-0.5719
559;48.5939,0.17104
560;50.287,2.76405
561;50.2877,2.77706
562;50.2923,2.74403
563;50.5206,2.65294
564;50.7203,1.61733
565;50.9537,1.83699
566;50.9474,1.8424
567;50.4201,2.94728
568;50.5561,2.47838
569;50.7481,2.25812
570;50.3877,2.34936
571;50.9526,1.878
572;50.2804,2.79577
573;50.2837,2.74785
574;50.436,2.82236
575;50.2945,2.76632
576;50.736,1.62276
577;50.5185,2.65779
578;50.3987,1.56049
579;50.74,2.255
580;50.7323,1.61225
581;50.9507,1.88323
582;50.1028,2.84698
583;50.5204,2.66597
584;50.434,2.82362
585;50.4946,2.8524
586;50.7264,1.60472
587;50.2836,2.79225
588;50.2833,2.79276
589;50.6343,2.40671
590;50.4381,2.80814
591;50.9536,1.88726
592;45.7823,3.0866
593;45.7626,3.13152
594;45.8868,3.11663
595;45.8626,3.5295
596;45.8011,3.10765
597;45.762,3.10844
598;45.76196,3.10845
599;45.7762,3.09298
600;45.7719,3.09052
601;45.772,3.09049
602;45.8807,3.11074
603;43.4744,-1.51172
604;43.48038,-1.55517
605;43.3704,-0.62513
606;43.2962,-0.36446
607;43.29849,-0.35947
608;43.4929,-1.47484
609;43.402,-1.45807
610;43.3143,-0.36585
611;43.5011,-1.52441
612;43.3273,-1.02596
613;43.48885,-1.47195
614;43.3135,-0.36594
615;43.4791,-1.50928
616;43.47913,-1.50876
617;43.2332,0.07191
