numero;lib_grp1
1;Tous les candidats
2;Autres candidats
3;Tous les candidats sauf les Bac technologiques et Bac professionnels
4;Tous les candidats sauf les Bac professionnels
5;Tous les candidats sauf les Bac technologiques
6;
7;Tous les candidats sauf les Bac Professionnels
8;Voie d'accès générale
9;Groupe par défaut
10;Bacheliers professionnels toutes séries
11;Tous les candidats - Paris
12;Tous les candidats - Toulouse
13;bac sti stl
14;Bacheliers technologiques toutes séries
15;Parcours particuliers
16;Autres formations
17;Bac S Sciences de l'Ingénieur
18;Bac S SVT/EAT spécialités Math/Physique/ISN/EAT
19;Candidats lycées français
20;Tous les garçons
21;Série S
22;Bac STL - SPCL
23;Candidats en terminale ou ayant le baccalauréat
24;Bac S SVT/EAT spécialité SVT
25;Candidats lycées étrangers
26;Tous les candidats - Lyon
27;bac français S
28;Bac S
29;Toutes les filles
30;Bac STI2D - AEI
