session,contrat_etab,cod_uai,g_ea_lib_vx,dep,dep_lib,region_etab_aff,acad_mies,ville_etab,lib_for_voe_ins,select_form,fili,lib_comp_voe_ins,form_lib_voe_acc,fil_lib_voe_acc,detail_forma,g_olocalisation_des_formations,capa_fin,voe_tot,voe_tot_f,nb_voe_pp,nb_voe_pp_internat,nb_voe_pp_bg,nb_voe_pp_bg_brs,nb_voe_pp_bt,nb_voe_pp_bt_brs,nb_voe_pp_bp,nb_voe_pp_bp_brs,nb_voe_pp_at,nb_voe_pc,nb_voe_pc_bg,nb_voe_pc_bt,nb_voe_pc_bp,nb_voe_pc_at,nb_cla_pp,nb_cla_pc,nb_cla_pp_internat,nb_cla_pp_pasinternat,nb_cla_pp_bg,nb_cla_pp_bg_brs,nb_cla_pp_bt,nb_cla_pp_bt_brs,nb_cla_pp_bp,nb_cla_pp_bp_brs,nb_cla_pp_at,prop_tot,acc_tot,acc_tot_f,acc_pp,acc_pc,acc_debutpp,acc_datebac,acc_finpp,acc_internat,acc_brs,acc_neobac,acc_bg,acc_bt,acc_bp,acc_at,acc_mention_nonrenseignee,acc_sansmention,acc_ab,acc_b,acc_tb,acc_tbf,acc_bg_mention,acc_bt_mention,acc_bp_mention,acc_term,acc_term_f,acc_aca_orig,acc_aca_orig_idf,pct_acc_debutpp,pct_acc_datebac,pct_acc_finpp,pct_f,pct_aca_orig,pct_aca_orig_idf,pct_etab_orig,pct_bours,pct_neobac,pct_mention_nonrenseignee,pct_sansmention,pct_ab,pct_b,pct_tb,pct_tbf,pct_bg,pct_bg_mention,pct_bt,pct_bt_mention,pct_bp,pct_bp_mention,prop_tot_bg,prop_tot_bg_brs,prop_tot_bt,prop_tot_bt_brs,prop_tot_bp,prop_tot_bp_brs,prop_tot_at,lib_grp1,ran_grp1,lib_grp2,ran_grp2,lib_grp3,ran_grp3,list_com,tri,cod_aff_form,detail_forma2,lien_form_psup,taux_acces_ens,part_acces_gen,part_acces_tec,part_acces_pro,etablissement_id_paysage,composante_id_paysage,Annee,taux_adm_psup,taux_adm_psup_gen,taux_adm_psup_techno,taux_adm_psup_pro,regr_forma,lib_grp4,ran_grp4,lib_grp5,ran_grp5,rang_der_max
2022,1.0,1,1,1,1,1,1,1.0,1.0,1.0,1,1.0,1,1,1,1,70.0,3896,1312,3896,,3750,264,0,0,0,0,146,0,0,0,0,0,2837,0,,,2814,167,0,0,0,0,23,975,71,36,71,0,23.0,59.0,65.0,,3,69,69,0,0,2,0,0,0,7,57,5.0,69,0,0,,,31,31,32.0,83.0,92.0,51.0,45.0,45.0,,4.0,97.0,0.0,0.0,0.0,10.0,83.0,7.0,100.0,100.0,0.0,0.0,0.0,0.0,969.0,75.0,0.0,0.0,0.0,0.0,6.0,1,2047.0,1,16.0,1,,1.0,1,3.0,1,1,31.0,100.0,0.0,0.0,1,1,1,,,,,1,1,,1,,
2022,1.0,2,2,2,2,2,2,2.0,1.0,1.0,1,2.0,1,1,1,2,120.0,8377,2340,8377,,7498,671,0,0,0,0,879,0,0,0,0,0,5891,0,,,5510,355,0,0,0,0,381,2339,123,24,123,0,47.0,110.0,110.0,,15,111,111,0,0,12,0,0,3,47,58,3.0,111,0,0,,,71,71,38.0,89.0,89.0,20.0,64.0,64.0,,14.0,90.0,0.0,0.0,3.0,42.0,52.0,3.0,100.0,100.0,0.0,0.0,0.0,0.0,2221.0,196.0,0.0,0.0,0.0,0.0,118.0,2,8452.0,2,,1,,1.0,1,8.0,2,2,36.0,100.0,0.0,0.0,2,1,1,,,,,1,1,,1,,
2022,1.0,3,3,3,3,3,3,3.0,1.0,1.0,1,2.0,1,1,1,3,90.0,4332,1055,4315,,3782,384,0,0,0,0,533,17,5,0,0,12,2879,1,,,2644,182,0,0,0,0,235,2461,58,9,58,0,21.0,58.0,58.0,,4,56,56,0,0,2,0,2,10,33,11,0.0,54,0,0,,,22,22,36.0,100.0,100.0,16.0,39.0,39.0,,7.0,97.0,0.0,4.0,18.0,59.0,20.0,0.0,100.0,96.0,0.0,0.0,0.0,0.0,2254.0,182.0,0.0,0.0,0.0,0.0,207.0,2,13897.0,2,,1,,1.0,1,10.0,2,3,67.0,100.0,0.0,0.0,1,1,1,,,,,1,1,,1,,
2022,1.0,4,4,4,4,4,4,4.0,1.0,1.0,1,2.0,1,1,1,4,180.0,9321,2530,9321,,8381,850,0,0,0,0,940,0,0,0,0,0,6487,0,,,6087,452,0,0,0,0,400,3359,181,47,181,0,105.0,177.0,181.0,,36,173,173,0,0,8,0,1,14,85,71,2.0,172,0,0,,,92,92,58.0,98.0,100.0,26.0,53.0,53.0,,21.0,96.0,0.0,1.0,8.0,49.0,41.0,1.0,100.0,99.0,0.0,0.0,0.0,0.0,3187.0,339.0,0.0,0.0,0.0,0.0,172.0,2,8752.0,2,,1,,1.0,1,12.0,2,4,44.0,100.0,0.0,0.0,1,1,1,,,,,1,1,,1,,
2022,1.0,5,5,5,5,5,5,5.0,1.0,1.0,1,2.0,1,1,1,5,145.0,8793,2311,8793,,7938,741,0,0,0,0,855,0,0,0,0,0,6161,0,,,5788,393,0,0,0,0,373,2886,143,46,143,0,50.0,131.0,133.0,,23,142,142,0,0,1,0,0,8,57,68,9.0,142,0,0,,,83,83,35.0,92.0,93.0,32.0,58.0,58.0,,16.0,99.0,0.0,0.0,6.0,40.0,48.0,6.0,100.0,100.0,0.0,0.0,0.0,0.0,2743.0,275.0,0.0,0.0,0.0,0.0,143.0,2,9663.0,2,,1,,1.0,1,25.0,2,5,41.0,100.0,0.0,0.0,1,1,1,,,,,1,1,,1,,
2022,1.0,6,6,6,6,6,6,6.0,1.0,1.0,1,2.0,1,1,1,6,110.0,7363,1990,7363,,6608,580,0,0,0,0,755,0,0,0,0,0,5204,0,,,4861,315,0,0,0,0,343,3626,110,28,110,0,79.0,102.0,106.0,,15,107,107,0,0,3,0,0,17,67,21,2.0,107,0,0,,,56,56,72.0,93.0,96.0,25.0,52.0,52.0,,14.0,97.0,0.0,0.0,16.0,63.0,20.0,2.0,100.0,100.0,0.0,0.0,0.0,0.0,3403.0,308.0,0.0,0.0,0.0,0.0,223.0,2,11329.0,2,,1,,1.0,1,27.0,2,6,55.0,100.0,0.0,0.0,3,1,1,,,,,1,1,,1,,
2022,1.0,7,7,7,7,7,7,7.0,1.0,1.0,1,2.0,1,1,1,7,52.0,5103,1419,5103,,4416,671,0,0,0,0,687,0,0,0,0,0,3278,0,,,2997,308,0,0,0,0,281,2448,54,16,54,0,22.0,41.0,49.0,,10,45,45,0,0,9,0,0,10,27,8,0.0,45,0,0,,,15,37,41.0,76.0,91.0,30.0,33.0,82.0,,22.0,83.0,0.0,0.0,22.0,60.0,18.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,2254.0,304.0,0.0,0.0,0.0,0.0,194.0,2,13358.0,2,,1,,1.0,1,36.0,2,7,55.0,100.0,0.0,0.0,4,2,1,,,,,1,1,,1,,
2022,1.0,8,8,8,8,8,8,8.0,1.0,1.0,1,2.0,1,1,1,8,120.0,4444,1047,4427,,3874,372,0,0,0,0,553,17,4,0,0,13,2974,1,,,2730,194,0,0,0,0,244,2627,76,10,75,1,34.0,76.0,76.0,,5,71,71,0,0,5,0,0,22,43,6,0.0,71,0,0,,,53,53,45.0,100.0,100.0,13.0,75.0,75.0,,7.0,93.0,0.0,0.0,31.0,61.0,8.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,2408.0,194.0,0.0,0.0,0.0,0.0,219.0,2,13898.0,2,,1,,1.0,1,38.0,2,8,67.0,100.0,0.0,0.0,5,1,1,,,,,1,1,,1,,
2022,1.0,9,9,9,9,9,9,9.0,2.0,1.0,1,3.0,1,1,2,9,12.0,186,13,186,,0,0,165,43,0,0,21,0,0,0,0,0,78,0,,,0,0,77,11,0,0,1,42,13,1,13,0,6.0,13.0,13.0,,4,13,0,13,0,0,0,0,2,10,1,0.0,0,13,0,,,6,6,46.0,100.0,100.0,8.0,46.0,46.0,,31.0,100.0,0.0,0.0,15.0,77.0,8.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,41.0,9.0,0.0,0.0,1.0,1,279.0,2,,1,,1.0,1,47.0,2,9,40.0,0.0,100.0,0.0,6,3,1,,,,,1,1,,1,,
2022,1.0,10,10,10,10,4,10,10.0,3.0,1.0,1,4.0,1,1,3,10,250.0,16011,5052,16011,,14547,1250,0,0,0,0,1464,0,0,0,0,0,12888,0,,,11899,890,0,0,0,0,989,1921,250,110,250,0,155.0,250.0,250.0,,29,235,235,0,0,15,0,0,2,21,158,54.0,235,0,0,,,70,70,62.0,100.0,100.0,44.0,30.0,30.0,,12.0,94.0,0.0,0.0,1.0,9.0,67.0,23.0,100.0,100.0,0.0,0.0,0.0,0.0,1838.0,198.0,0.0,0.0,0.0,0.0,83.0,1,2432.0,2,,1,,1.0,1,59.0,3,10,13.0,100.0,0.0,0.0,7,1,1,,,,,1,1,,1,,
